standard_SMILES;average_pIC50
O=C(Cc1cccc(Cl)c1)NC1=NC(=O)c2ccccc12;4.002176919254275
CC1(C)Nc2ccccc2C1NC(=O)Cc1cccc(Cl)c1;4.002176919254275
O=C(Cc1cccc(Cl)c1)Nc1noc2ncccc12;4.002176919254275
COc1ccncc1NC(=O)Cc1cccc(Cl)c1;4.666521397895722
O=C(Cc1cccc(Cl)c1)Nc1c[nH]c2ccccc12;4.002176919254275
CC(C)(C)Oc1ccncc1NC(=O)Cc1cccc(Cl)c1;4.639735048962698
O=C(Cc1cccc(Cl)c1)Nc1ncnc2ccccc12;4.002176919254275
O=C(Cc1cccc(Cl)c1)Nc1noc2ccccc12;4.002176919254275
O=C(Cc1cccc(Cl)c1)Nc1c2ccccn2nc1;4.945156617052481
O=C(Cc1cccc(Cl)c1)Nc1cncc2nccnc12;4.118949131569941
O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(F)ccc12;5.833457157392363
O=C(Cc1cccc(Cl)c1)Nc1cncc2c(F)cccc12;6.050823862411883
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1[nH]cc2;5.721944247705526
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1NCCC2;4.420241673924808
O=C(Cc1cccc(Cl)c1)Nc1c(O)cnc2ccccc12;5.073758541490582
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1ccs2;6.372053754977971
COc1ncc(NC(=O)Cc2cccc(Cl)c2)c2ccccc12;4.002176919254275
N#Cc1ncc(NC(=O)Cc2cccc(Cl)c2)c2ccccc12;4.1807911718321416
CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2nnn[nH]2)c2cccnc2)cc1;4.002176919254275
CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2c[nH]cn2)c2cccnc2)cc1;4.840062124483683
CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)N2CCC(c3cccc(F)c3)CC2)c2cccnc2)cc1;5.024258677899406
CC(C)(C)c1ccc(N(C(=O)c2ccns2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1;4.2916640892280755
Cc1cnnn1-c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1;4.546393919443255
CC(C)(C)c1ccc(N(C(=O)c2nocc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1;5.37079568738538
